#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-09	6	338130	1942808	0	groove	156330	156330	0	133294	119641	0	0	0	0	0	156330	?	?
start-09	6	338130	1942808	4275	8	171590	168522	51884	1635	103587	16474	12598	1746	16454	15444	156330	?	?
start-09	6	338130	1942808	4269	16	96000	92967	52420	1769	52420	9045	6351	921	15053	14526	156330	?	?
start-09	6	338130	1942808	4265	24	71000	68276	52424	1472	35509	6593	4421	613	14650	14302	156330	?	?
start-09	6	338130	1942808	4267	32	70580	65756	52432	1333	28569	5599	3406	472	21668	21438	156330	?	?
start-09	6	338130	1942808	4242	40	52770	49215	52436	1188	21570	4461	2733	375	15951	15746	156330	?	?
start-09	6	338130	1942808	4218	48	50770	46305	52468	1147	18329	3952	2350	315	17789	17619	156330	?	?
start-09	6	338130	1942808	4212	56	52460	48431	52448	5969	14896	3231	1886	258	24924	24779	156330	?	?
start-09	6	338130	1942808	4203	64	52570	46245	52456	1306	14021	3286	1770	238	23918	23801	156330	?	?
